demande_id,region,prefecture,commune,quartier,type_document,categorie_document,nombre_demandes,delai_traitement_jours,taux_rejet,date_demande,motif_demande,statut_demande,canal_demande,age_demandeur,sexe_demandeur
D068,maritime,lacs,aneho,Golfe,Passeport,Voyage,163,36,0.01,2023-07-04,Perte,Rejetée,Guichet,88,M
D069,savanes,tone,dapaong,Kwé,Livre de famille,Civil,113,17,0.13,2023-04-30,Perte,En cours,En ligne,33,F
D070,centrale,tchaoudjo,sokode,Hedzranawoé,Acte de naissance,Civil,142,13,0.03,2023-01-19,Perte,Rejetée,Guichet,50,M
D071,plateaux,haho,notse,Hôpital,Acte de naissance,Civil,177,9,0.0,2023-07-27,Perte,Traitee,Guichet,84,M
D072,savanes,oti,mango,Hedzranawoé,Passeport,Voyage,18,25,0.13,2023-11-11,Voyage,En cours,En ligne,69,M
D073,kara,binah,pagouda,Agoè,Livre de famille,Civil,125,19,0.07,2023-06-04,Perte,Rejetée,En ligne,67,M
D074,plateaux,kloto,kpalime,Amoutivé,Casier judiciaire,Judiciaire,145,37,0.15,2023-03-29,Concours,Traitee,Guichet,49,F
D075,kara,binah,pagouda,Adidogomé,Certificat de nationalité,Identité,55,34,0.0,2023-05-18,Première demande,Rejetée,En ligne,60,M
D076,maritime,zio,tsevie,Kwé,Carte d'identité,Identité,43,29,0.04,2023-04-07,Vol,En cours,En ligne,66,M
D077,centrale,tchaoudjo,sokode,Hedzranawoé,Casier judiciaire,Judiciaire,136,19,0.03,2023-06-29,Emploi,En cours,En ligne,63,M
D078,maritime,vo,vogan,Kwé,Certificat de nationalité,Identité,178,24,0.14,2023-03-02,Première demande,Rejetée,En ligne,19,M
D079,savanes,oti,mango,Agoè,Casier judiciaire,Judiciaire,179,25,0.01,2023-09-26,Emploi,En cours,Guichet,30,M
D080,maritime,lacs,aneho,Hôpital,Certificat de nationalité,Identité,29,22,0.14,2023-06-17,Première demande,Traitee,Guichet,90,M
D081,kara,binah,pagouda,Kodjoviakopé,Livre de famille,Civil,38,13,0.05,2023-08-10,Perte,Rejetée,Guichet,81,M
D082,plateaux,haho,notse,Kodjoviakopé,Passeport,Voyage,22,26,0.07,2023-12-11,Page pleine,En cours,Guichet,79,F
D083,maritime,vo,vogan,Golfe,Livre de famille,Civil,69,32,0.09,2023-10-13,Détérioration,Rejetée,Guichet,72,M
D084,maritime,lacs,aneho,Golfe,Carte d'identité,Identité,119,44,0.11,2023-11-26,Première demande,Traitee,Guichet,61,F
D085,savanes,oti,mango,Nyékonakpoé,Acte de naissance,Civil,149,4,0.1,2023-07-20,Erreur,En cours,Guichet,72,F
D086,plateaux,kloto,kpalime,Amoutivé,Acte de naissance,Civil,33,3,0.12,2023-11-14,Perte,En cours,En ligne,61,F
D087,plateaux,haho,notse,Amoutivé,Livre de famille,Civil,171,26,0.05,2023-01-01,Détérioration,Traitee,En ligne,88,M
D088,maritime,zio,tsevie,Hôpital,Certificat de nationalité,Identité,145,37,0.08,2023-05-21,Concours,En cours,Guichet,86,M
D089,savanes,tone,dapaong,Tokoin,Certificat de nationalité,Identité,21,26,0.06,2023-12-10,Perte,Rejetée,Guichet,31,M
D090,kara,kozah,kara,Tokoin,Carte d'identité,Identité,143,13,0.11,2023-03-28,Vol,En cours,En ligne,30,F
D091,plateaux,ogou,atakpame,Golfe,Certificat de nationalité,Identité,79,44,0.11,2023-09-20,Concours,Traitee,En ligne,38,F
D092,kara,kozah,kara,Hôpital,Livre de famille,Civil,195,37,0.1,2023-09-12,Détérioration,Rejetée,En ligne,64,M
D093,savanes,oti,mango,Amoutivé,Livre de famille,Civil,110,4,0.01,2023-05-30,Détérioration,Rejetée,Guichet,70,F
D094,kara,kozah,kara,Hôpital,Acte de naissance,Civil,81,27,0.05,2023-01-30,Erreur,Traitee,Guichet,53,M
D095,centrale,sotouboua,sotouboua,Kwé,Acte de naissance,Civil,165,11,0.09,2023-06-17,Perte,Rejetée,Guichet,30,F
D096,centrale,sotouboua,sotouboua,Kwé,Certificat de nationalité,Identité,63,4,0.09,2023-10-10,Concours,Traitee,Guichet,54,M
D097,centrale,sotouboua,sotouboua,Amoutivé,Casier judiciaire,Judiciaire,150,3,0.1,2023-05-30,Emploi,En cours,En ligne,67,M
D098,kara,kozah,kara,Hôpital,Carte d'identité,Identité,30,17,0.12,2023-10-28,Première demande,En cours,Guichet,68,F
D099,plateaux,kloto,kpalime,Agoè,Acte de naissance,Civil,196,33,0.1,2023-11-20,Erreur,Rejetée,Guichet,36,M
D100,kara,kozah,kara,Tokoin,Certificat de nationalité,Identité,105,30,0.02,2023-04-09,Perte,Rejetée,Guichet,69,F
D101,plateaux,ogou,atakpame,Hôpital,Certificat de nationalité,Identité,101,32,0.11,2023-07-29,Perte,En cours,Guichet,59,M
D102,maritime,golfe,lome,Bè,Acte de naissance,Civil,61,8,0.11,2023-10-04,Reconstitution,Rejetée,En ligne,39,M
D103,centrale,sotouboua,sotouboua,Bè,Acte de naissance,Civil,18,22,0.11,2023-08-27,Perte,En cours,Guichet,21,F
D104,centrale,sotouboua,sotouboua,Hedzranawoé,Acte de naissance,Civil,43,22,0.04,2023-02-07,Perte,Rejetée,Guichet,55,F
D105,maritime,vo,vogan,Nyékonakpoé,Carte d'identité,Identité,177,8,0.05,2023-10-15,Première demande,Rejetée,En ligne,47,F
D106,kara,kozah,kara,Bè,Casier judiciaire,Judiciaire,18,40,0.11,2023-07-19,Emploi,En cours,En ligne,26,M
D107,centrale,tchaoudjo,sokode,Adidogomé,Acte de naissance,Civil,44,41,0.0,2023-03-24,Detérioré,Traitee,Guichet,65,M
D108,savanes,oti,mango,Tokoin,Carte d'identité,Identité,153,29,0.04,2023-11-07,Détérioration,Traitee,En ligne,79,F
D109,plateaux,haho,notse,Amoutivé,Carte d'identité,Identité,179,12,0.13,2023-02-03,Vol,Traitee,En ligne,35,M
D110,kara,kozah,kara,Tokoin,Passeport,Voyage,174,26,0.03,2023-11-22,Perte,Traitee,Guichet,90,M
D111,savanes,tone,dapaong,Bè,Passeport,Voyage,118,31,0.03,2023-07-04,Perte,En cours,Guichet,58,M
D112,centrale,tchaoudjo,sokode,Bè,Passeport,Voyage,14,42,0.14,2023-10-31,Expiration,En cours,Guichet,24,M
D113,centrale,tchaoudjo,sokode,Agoè,Certificat de nationalité,Identité,23,39,0.05,2023-06-22,Perte,En cours,Guichet,72,M
D114,centrale,tchaoudjo,sokode,Golfe,Casier judiciaire,Judiciaire,104,16,0.02,2023-09-04,Concours,Rejetée,Guichet,78,M
D115,plateaux,kloto,kpalime,Golfe,Casier judiciaire,Judiciaire,43,37,0.02,2023-08-15,Voyage,En cours,En ligne,37,M
D116,maritime,lacs,aneho,Tokoin,Acte de naissance,Civil,66,6,0.09,2023-06-01,Perte,Rejetée,En ligne,53,F
D117,savanes,tone,dapaong,Kwé,Casier judiciaire,Judiciaire,111,34,0.07,2023-07-06,Concours,Rejetée,Guichet,59,F
D118,kara,kozah,kara,Kwé,Passeport,Voyage,69,8,0.06,2023-03-11,Voyage,En cours,Guichet,32,M
D119,centrale,sotouboua,sotouboua,Hôpital,Livre de famille,Civil,18,23,0.01,2023-10-04,Nouveau mariage,Traitee,Guichet,81,M
D120,kara,kozah,kara,Agoè,Passeport,Voyage,109,14,0.01,2023-08-29,Perte,Rejetée,En ligne,19,M
D121,centrale,tchaoudjo,sokode,Amoutivé,Casier judiciaire,Judiciaire,167,42,0.05,2023-06-17,Concours,En cours,En ligne,43,F
D122,savanes,oti,mango,Kodjoviakopé,Certificat de nationalité,Identité,195,29,0.03,2023-06-03,Perte,Rejetée,En ligne,57,M
D123,kara,kozah,kara,Nyékonakpoé,Certificat de nationalité,Identité,129,8,0.0,2023-03-03,Première demande,En cours,Guichet,28,M
D124,plateaux,kloto,kpalime,Golfe,Acte de naissance,Civil,199,22,0.0,2023-08-07,Detérioré,Rejetée,En ligne,72,F
D125,plateaux,kloto,kpalime,Golfe,Certificat de nationalité,Identité,197,11,0.07,2023-07-14,Perte,Traitee,En ligne,44,M
D126,kara,kozah,kara,Kwé,Certificat de nationalité,Identité,106,19,0.06,2023-11-18,Première demande,Traitee,Guichet,66,M
D127,plateaux,kloto,kpalime,Golfe,Passeport,Voyage,62,22,0.11,2023-04-20,Perte,Traitee,En ligne,48,M
D128,maritime,vo,vogan,Adidogomé,Livre de famille,Civil,180,19,0.01,2023-09-01,Perte,Rejetée,En ligne,26,M
D129,maritime,vo,vogan,Hedzranawoé,Certificat de nationalité,Identité,165,33,0.02,2023-02-25,Perte,En cours,En ligne,25,M
D130,maritime,golfe,adidogome,Adidogomé,Livre de famille,Civil,51,5,0.08,2023-10-07,Perte,En cours,En ligne,24,F
D131,centrale,sotouboua,sotouboua,Adidogomé,Carte d'identité,Identité,155,27,0.06,2023-07-07,Première demande,Rejetée,En ligne,84,F
D132,centrale,tchaoudjo,sokode,Adidogomé,Certificat de nationalité,Identité,116,1,0.13,2023-08-24,Perte,Traitee,En ligne,23,F
D133,maritime,golfe,adidogome,Tokoin,Acte de naissance,Civil,30,21,0.13,2023-04-26,Reconstitution,Rejetée,Guichet,19,M
D134,kara,kozah,kara,Amoutivé,Livre de famille,Civil,94,10,0.02,2023-03-01,Perte,Traitee,Guichet,80,F
D135,plateaux,kloto,kpalime,Agoè,Passeport,Voyage,113,10,0.04,2023-05-08,Page pleine,Traitee,En ligne,83,F
D136,kara,kozah,kara,Hôpital,Certificat de nationalité,Identité,128,1,0.0,2023-03-05,Perte,Rejetée,En ligne,22,M
D137,maritime,vo,vogan,Kodjoviakopé,Carte d'identité,Identité,189,3,0.03,2023-07-20,Vol,Traitee,En ligne,55,F
D138,savanes,oti,mango,Amoutivé,Certificat de nationalité,Identité,171,20,0.13,2023-12-13,Perte,En cours,Guichet,50,M
D139,savanes,tone,dapaong,Tokoin,Carte d'identité,Identité,150,12,0.06,2023-03-18,Détérioration,Traitee,Guichet,56,F
D140,plateaux,haho,notse,Hôpital,Livre de famille,Civil,91,35,0.1,2023-08-03,Détérioration,En cours,Guichet,60,M
D141,savanes,tone,dapaong,Kodjoviakopé,Passeport,Voyage,183,10,0.09,2023-04-09,Page pleine,Traitee,Guichet,69,F
D142,plateaux,haho,notse,Adidogomé,Certificat de nationalité,Identité,50,21,0.12,2023-09-28,Première demande,En cours,Guichet,36,F
D143,plateaux,haho,notse,Hôpital,Acte de naissance,Civil,24,15,0.09,2023-01-24,Erreur,Traitee,Guichet,36,F
D144,maritime,golfe,lome,Adidogomé,Carte d'identité,Identité,177,32,0.06,2023-02-01,Vol,En cours,En ligne,40,F
D145,savanes,tone,dapaong,Adidogomé,Passeport,Voyage,68,14,0.15,2023-01-30,Expiration,En cours,En ligne,90,F
D146,maritime,golfe,adidogome,Hedzranawoé,Passeport,Voyage,190,34,0.03,2023-02-07,Expiration,En cours,En ligne,49,M
D147,savanes,tone,dapaong,Hôpital,Livre de famille,Civil,98,33,0.08,2023-07-31,Détérioration,Traitee,Guichet,70,M
D148,savanes,oti,mango,Agoè,Livre de famille,Civil,199,37,0.14,2023-01-10,Détérioration,En cours,En ligne,88,M
D149,plateaux,haho,notse,Hôpital,Acte de naissance,Civil,100,31,0.11,2023-01-05,Reconstitution,En cours,Guichet,26,F
D150,plateaux,ogou,atakpame,Kwé,Certificat de nationalité,Identité,156,31,0.09,2023-05-02,Première demande,Rejetée,En ligne,27,M
D151,kara,binah,pagouda,Hôpital,Livre de famille,Civil,121,43,0.13,2023-07-19,Détérioration,Traitee,Guichet,71,F
D152,centrale,sotouboua,sotouboua,Agoè,Carte d'identité,Identité,128,40,0.05,2023-07-18,Expiration,Rejetée,Guichet,38,M
D153,centrale,tchaoudjo,sokode,Hôpital,Certificat de nationalité,Identité,56,21,0.11,2023-01-25,Concours,En cours,Guichet,24,M
D154,centrale,sotouboua,sotouboua,Nyékonakpoé,Certificat de nationalité,Identité,128,15,0.01,2023-06-07,Première demande,Traitee,Guichet,43,F
D155,kara,kozah,kara,Hôpital,Acte de naissance,Civil,142,19,0.01,2023-06-08,Detérioré,Rejetée,Guichet,66,M
D156,kara,kozah,kara,Amoutivé,Casier judiciaire,Judiciaire,91,35,0.03,2023-12-30,Voyage,En cours,En ligne,61,F
D157,savanes,oti,mango,Bè,Passeport,Voyage,23,22,0.11,2023-04-09,Expiration,En cours,En ligne,28,M
D158,savanes,oti,mango,Nyékonakpoé,Certificat de nationalité,Identité,65,8,0.01,2023-04-01,Concours,Rejetée,En ligne,39,M
D159,plateaux,kloto,kpalime,Amoutivé,Certificat de nationalité,Identité,153,44,0.02,2023-05-29,Perte,Traitee,Guichet,53,M
D160,kara,kozah,kara,Bè,Acte de naissance,Civil,33,21,0.13,2023-11-06,Erreur,En cours,Guichet,23,F
D161,plateaux,ogou,atakpame,Kwé,Certificat de nationalité,Identité,126,15,0.08,2023-07-21,Première demande,Traitee,En ligne,24,F
D162,plateaux,ogou,atakpame,Bè,Acte de naissance,Civil,155,39,0.04,2023-02-16,Reconstitution,Rejetée,En ligne,80,F
D163,savanes,oti,mango,Kwé,Certificat de nationalité,Identité,135,45,0.14,2023-12-31,Première demande,Rejetée,Guichet,20,F
D164,centrale,tchaoudjo,sokode,Agoè,Passeport,Voyage,40,41,0.08,2023-06-14,Page pleine,Traitee,Guichet,72,F
D165,maritime,lacs,aneho,Hedzranawoé,Casier judiciaire,Judiciaire,44,40,0.13,2023-07-04,Voyage,Rejetée,Guichet,77,F
D166,centrale,sotouboua,sotouboua,Adidogomé,Passeport,Voyage,15,31,0.08,2023-05-16,Perte,Rejetée,En ligne,70,M
D167,savanes,tone,dapaong,Agoè,Livre de famille,Civil,183,43,0.02,2023-09-24,Perte,Rejetée,Guichet,79,F
D168,kara,binah,pagouda,Kwé,Carte d'identité,Identité,33,10,0.1,2023-09-30,Perte,En cours,Guichet,49,F
D169,maritime,vo,vogan,Golfe,Certificat de nationalité,Identité,102,19,0.04,2023-01-03,Première demande,Traitee,En ligne,45,F
D170,centrale,tchaoudjo,sokode,Tokoin,Livre de famille,Civil,186,8,0.04,2023-08-17,Détérioration,Traitee,Guichet,29,F
D171,kara,kozah,kara,Tokoin,Passeport,Voyage,24,8,0.1,2023-12-29,Perte,Rejetée,Guichet,25,F
D172,kara,binah,pagouda,Bè,Certificat de nationalité,Identité,144,3,0.13,2023-10-10,Première demande,Rejetée,En ligne,67,F
D173,savanes,oti,mango,Hedzranawoé,Passeport,Voyage,83,14,0.05,2023-09-09,Expiration,Rejetée,En ligne,88,F
D174,plateaux,kloto,kpalime,Kwé,Casier judiciaire,Judiciaire,37,16,0.03,2023-05-22,Voyage,En cours,Guichet,63,M
D175,savanes,oti,mango,Tokoin,Acte de naissance,Civil,39,9,0.11,2023-06-19,Erreur,Traitee,Guichet,34,M
D176,maritime,golfe,be,Agoè,Livre de famille,Civil,191,2,0.08,2023-12-11,Détérioration,En cours,Guichet,62,M
D177,maritime,lacs,aneho,Golfe,Passeport,Voyage,105,21,0.0,2023-10-22,Perte,Rejetée,Guichet,71,F
D178,maritime,zio,tsevie,Agoè,Acte de naissance,Civil,48,26,0.15,2023-10-13,Erreur,Traitee,Guichet,20,M
D179,kara,binah,pagouda,Hôpital,Certificat de nationalité,Identité,31,36,0.03,2023-10-12,Première demande,Traitee,En ligne,46,M
D180,kara,binah,pagouda,Nyékonakpoé,Carte d'identité,Identité,52,10,0.02,2023-06-03,Vol,En cours,En ligne,74,M
D181,plateaux,ogou,atakpame,Bè,Livre de famille,Civil,150,17,0.06,2023-12-21,Détérioration,Rejetée,En ligne,58,F
D182,kara,kozah,kara,Hedzranawoé,Livre de famille,Civil,32,17,0.0,2023-09-09,Perte,En cours,En ligne,51,M
D183,savanes,tone,dapaong,Kwé,Passeport,Voyage,180,23,0.0,2023-04-14,Voyage,Rejetée,En ligne,53,M
D184,savanes,oti,mango,Kodjoviakopé,Acte de naissance,Civil,22,14,0.09,2023-07-11,Perte,En cours,Guichet,35,F
D185,kara,binah,pagouda,Nyékonakpoé,Carte d'identité,Identité,113,21,0.06,2023-05-07,Vol,Rejetée,En ligne,65,M
D186,centrale,tchaoudjo,sokode,Tokoin,Acte de naissance,Civil,200,7,0.14,2023-08-03,Perte,Rejetée,Guichet,81,M
D187,savanes,oti,mango,Hôpital,Passeport,Voyage,124,35,0.09,2023-10-07,Perte,Traitee,Guichet,40,M
D188,maritime,vo,vogan,Bè,Passeport,Voyage,55,16,0.13,2023-05-07,Voyage,En cours,En ligne,27,M
D189,plateaux,kloto,kpalime,Bè,Passeport,Voyage,183,3,0.04,2023-05-07,Page pleine,En cours,En ligne,85,F
D190,centrale,tchaoudjo,sokode,Tokoin,Acte de naissance,Civil,26,42,0.1,2023-07-01,Detérioré,Traitee,Guichet,90,F
D191,centrale,sotouboua,sotouboua,Amoutivé,Livre de famille,Civil,27,15,0.06,2023-09-22,Perte,En cours,En ligne,51,M
D192,maritime,vo,vogan,Kodjoviakopé,Certificat de nationalité,Identité,10,17,0.13,2023-01-04,Perte,En cours,En ligne,47,M
D193,centrale,sotouboua,sotouboua,Nyékonakpoé,Carte d'identité,Identité,31,29,0.12,2023-09-11,Première demande,Rejetée,En ligne,21,F
D194,kara,binah,pagouda,Hedzranawoé,Certificat de nationalité,Identité,161,42,0.12,2023-05-16,Concours,Rejetée,En ligne,47,M
D195,centrale,sotouboua,sotouboua,Kwé,Passeport,Voyage,200,35,0.09,2023-02-22,Page pleine,Rejetée,En ligne,51,M
D196,centrale,tchaoudjo,sokode,Kodjoviakopé,Passeport,Voyage,158,25,0.08,2023-04-05,Perte,Rejetée,Guichet,56,F
D197,kara,binah,pagouda,Nyékonakpoé,Acte de naissance,Civil,195,13,0.12,2023-05-04,Erreur,En cours,Guichet,74,F
D198,plateaux,ogou,atakpame,Nyékonakpoé,Certificat de nationalité,Identité,193,25,0.14,2023-08-25,Perte,Traitee,Guichet,74,F
D199,maritime,zio,tsevie,Bè,Acte de naissance,Civil,98,9,0.05,2023-11-09,Reconstitution,Rejetée,En ligne,39,F
D200,maritime,golfe,be,Bè,Acte de naissance,Civil,35,30,0.13,2023-08-19,Erreur,En cours,Guichet,58,M
D201,savanes,tone,dapaong,Kwé,Passeport,Voyage,152,33,0.15,2023-10-29,Expiration,Rejetée,Guichet,47,M
D202,savanes,tone,dapaong,Golfe,Casier judiciaire,Judiciaire,59,26,0.11,2023-06-11,Voyage,En cours,Guichet,44,M
D203,kara,kozah,kara,Nyékonakpoé,Acte de naissance,Civil,101,1,0.05,2023-08-15,Erreur,Rejetée,En ligne,79,F
